Name,LOC,Number Of Members,TCC,WMC,ATFD,Large_Class
TaskNode,131,18,0.08,4,12,False
TaskNotesChartItem,7,1,0,0,0,False
TaskProgressChartItem,5,1,0,0,0,False
TaskProperties,247,16,0,1,248,False
TaskPropertiesAction,55,9,0,1,11,False
TaskPropertiesTagHandler,25,4,0,2,3,False
TaskPropertyEvent,14,3,0,1,0,False
TaskRegularAreaChartItem,8,1,0,0,0,False
TaskRendererImpl2,613,15,0,1,0,True
TaskSaver,167,6,0,2,180,False
TaskScheduleDatesPanel,276,41,0.05,3,123,True
TaskScheduleEvent,38,10,0,1,1,False
TaskSearchService,30,1,0,0,0,False
TaskSelectionManager,154,21,0,2,8,False
TaskTagHandler,179,11,0,2,69,False
TaskTreeImageGenerator,145,11,0,1,0,False
TaskTreeImageGeneratorExt,121,7,0,2,29,False
TaskUnindentAction,51,7,0,2,23,False
TaskUnlinkAction,46,6,0,2,19,False
TaskView,10,2,0,1,0,False
TaskVisitor,19,3,0,1,2,False
TestGanttRolloverButton,157,18,0,3,0,False
TextDefaultValue,20,3,0,1,10,False
TextFieldAndFileChooserComponent,249,30,0.01,6,30,False
TimelineFacadeImpl,66,15,0,1,6,False
TimelineLabelChartItem,5,1,0,0,0,False
TimelineLabelRendererImpl,71,10,0,1,49,False
TimelineTagHandler,41,6,0,4,14,False
ToolbarBuilder,289,1,0,0,0,True
TopPanel,24,1,0,3,4,False
Transaction,23,6,0,2,0,False
TreeTableCellEditorImpl,108,18,0,1,24,False
TreeTableContainer,295,6,0,0,0,False
TreeUtil,98,12,0,2,25,False
UIConfiguration,202,40,0,1,0,False
UIFacadeImpl,637,92,0,10,0,True
UIUtil,608,25,0,1,0,True
UndoableEditImpl,85,13,0,2,27,False
UndoAction,57,10,0,1,5,False
UndoManagerImpl,116,23,0,3,6,False
UrlFetcher,107,16,0.04,3,5,False
UrlFetcher,105,16,0,3,4,False
VacationSaver,19,1,0,4,35,False
VacationTagHandler,31,4,0,1,5,False
VerticalPartitioning,56,5,0,16,3,False
ViewChartOptionsDialogAction,55,10,0,1,5,False
ViewCycleAction,19,4,0,3,0,False
ViewHolder,59,12,0,2,31,False
ViewLogAction,13,3,0,1,0,False
ViewLogDialog,9,1,0,1,0,False
ViewManagerImpl,106,21,0,1,30,False
ViewMenu,42,2,0,0,0,False
ViewSaver,57,5,0,3,39,False
ViewTagHandler,31,7,0,1,8,False
ViewToggleAction,29,7,0,1,2,False
VisibleFieldsImpl,31,6,0,2,0,False
VisibleNodesFilter,24,1,0,8,14,False
VscrollAdjustmentListener,36,7,0,1,31,False
WebDavException,8,2,0,0,0,False
WebDavOptionPageProvider,134,15,0,2,27,False
WebDavRuntimeException,11,3,0,0,0,False
WebDavServerDescriptor,49,13,0.07,2,0,False
WebDavStorageImpl,288,1,0,0,0,True
WebDavUri,74,12,0,1,1,False
WebPublisher,150,1,0,0,0,False
WeekendConfigurationPage,243,9,0,1,0,False
WeekendSchedulingOption,11,2,0,1,0,False
WeekendsSettingsPanel,59,6,0,2,60,False
WizardImpl,156,32,0.07,1,22,False
XmlParser,84,11,0,8,10,False
ZoomActionSet,20,5,0,1,0,False
ZoomEvent,12,3,0,1,0,False
ZoomInAction,26,5,0,1,1,False
ZoomingPanel,28,5,0,3,7,False
ZoomManager,136,1,0,0,0,False
ZoomOutAction,26,5,0,1,1,False
ZoomState,33,9,0,1,2,False
